StockCode,Year,ROE,Leverage,Growth,ROA
000017,2017,0.101073,0.51163,-0.594211,0.0505365
000017,2018,-0.105412,0.328618,-2.190827,-0.052706
000017,2019,-0.670868,0.118427,-3.155202,-0.335434
000017,2020,0.420074,0.300875,1.559991,0.210037
000017,2021,-0.200435,0.454613,-1.374695,-0.1002175
000017,2022,-0.050938,0.597687,-3.868601,-0.025469
000017,2023,0.059784,0.913783,3.255673,0.029892
000019,2015,-0.036985,1.667775,-4.041198,-0.0184925
000019,2016,0.098222,3.122951,3.098333,0.049111
000019,2017,-0.054677,2.748581,-1.679489,-0.0273385
000019,2018,0.120455,0.425995,-0.085557,0.0602275
000019,2019,0.084602,0.131095,0.198409,0.042301
000019,2020,0.089859,0.123715,0.050077,0.0449295
000019,2021,0.092941,0.128534,0.080587,0.0464705
000019,2022,0.089552,0.041528,-0.041282,0.044776
000019,2023,0.072559,0.100156,-0.171664,0.0362795
000020,2015,-0.022713,2.312031,-1.87563,-0.0113565
000020,2016,0.017296,0.300906,2.299193,0.008648
000020,2017,0.003043,0.222676,-0.821462,0.0015215
000020,2018,0.010223,0.116388,2.381559,0.0051115
000020,2019,0.016713,0.181979,0.65706,0.0083565
000020,2020,0.020521,0.269266,0.250939,0.0102605
000020,2021,0.021191,0.11034,0.054422,0.0105955
000020,2022,0.02906,0.370411,0.406263,0.01453
000020,2023,0.037036,0.547361,0.317399,0.018518
000021,2015,0.035563,0.847829,0.138026,0.0177815
000021,2016,0.040989,0.551772,0.238461,0.0204945
000021,2017,0.097398,0.654461,1.565003,0.048699
000021,2018,0.087308,0.644062,-0.014852,0.043654
000021,2019,0.053344,0.431342,-0.275449,0.026672
000021,2020,0.118163,0.657437,1.156997,0.0590815
000021,2021,0.088963,0.591119,-0.124883,0.0444815
000021,2022,0.065363,0.663684,-0.174178,0.0326815
000021,2023,0.06058,0.610154,0.196899,0.03029
000023,2015,0.071644,0.155923,0.767774,0.035822
000023,2016,0.025804,0.223682,-0.4057,0.012902
000023,2017,0.076296,0.289419,0.812473,0.038148
000023,2018,0.062381,0.266604,0.224742,0.0311905
000023,2019,0.112258,0.285617,1.122263,0.056129
000023,2020,-0.01695,0.280609,-0.70012,-0.008475
000023,2021,-0.121055,0.200677,-2.170104,-0.0605275
000023,2022,-0.981611,0.184601,-9.838162,-0.4908055
000023,2023,-2.647169,0.136226,0.359001,-1.3235845
000026,2015,0.061894,0.441053,-0.164675,0.030947
000026,2016,0.047387,0.284226,-0.095612,0.0236935
000026,2017,0.057949,0.182403,0.292109,0.0289745
000026,2018,0.072978,0.161381,0.289018,0.036489
000026,2019,0.08265,0.288468,0.174471,0.041325
000026,2020,0.107843,0.292097,0.36225,0.0539215
000026,2021,0.133435,0.205047,0.318705,0.0667175
000026,2022,0.086731,0.336537,-0.312429,0.0433655
000026,2023,0.102988,0.614826,0.249349,0.051494
000027,2015,0.09083,0.349363,-0.119177,0.045415
000027,2016,0.062192,0.266221,-0.316402,0.031096
000027,2017,0.034894,0.145966,-0.399234,0.017447
000027,2018,0.030416,0.175198,-0.152265,0.015208
000027,2019,0.06282,0.09454,1.553286,0.03141
000027,2020,0.117092,0.287909,1.333049,0.058546
000027,2021,0.051122,0.269886,-0.505658,0.025561
000027,2022,0.048055,0.269894,0.042898,0.0240275
000027,2023,0.04404,0.295318,0.125847,0.02202
000028,2015,0.149014,0.214401,0.175425,0.074507
000028,2016,0.170691,0.290049,0.244606,0.0853455
000028,2017,0.118542,0.345554,-0.09755,0.059271
000028,2018,0.115226,0.548163,0.165718,0.057613
000028,2019,0.104098,0.530908,0.1007,0.052049
000028,2020,0.104796,0.296098,0.162913,0.052398
000028,2021,0.092572,0.229061,-0.112505,0.046286
000028,2022,0.09576,0.286117,0.159786,0.04788
000028,2023,0.095362,0.267166,0.105404,0.047681
000029,2015,0.134037,0.742376,0.010102,0.0670185
000029,2016,0.125239,1.12691,0.034632,0.0626195
000029,2017,0.067611,1.006621,-0.40634,0.0338055
000029,2018,0.16346,1.404397,1.70368,0.08173
000029,2019,0.157863,1.829899,0.082456,0.0789315
000029,2020,0.077764,2.128268,-0.46422,0.038882
000029,2021,0.057095,0.554291,-0.24956,0.0285475
000029,2022,0.038708,0.450149,-0.312605,0.019354
000029,2023,-0.065193,0.692738,-3.99287,-0.0325965
000030,2015,0.111968,0.474869,-0.219312,0.055984
000030,2016,0.137285,0.473297,0.288932,0.0686425
000030,2017,0.152231,0.467493,0.210275,0.0761155
000030,2018,0.145354,0.422902,0.066887,0.072677
000030,2019,0.136651,0.308875,0.010952,0.0683255
000030,2020,0.129474,0.303783,0.028565,0.064737
000030,2021,0.114212,0.559371,-0.143223,0.057106
000030,2022,0.067049,0.478057,-0.398132,0.0335245
000030,2023,0.079795,0.311998,0.565393,0.0398975
000031,2015,0.12067,0.352316,0.109009,0.060335
000031,2016,0.121333,0.428386,0.435626,0.0606665
000031,2017,0.15098,0.212362,0.301006,0.07549
000031,2018,0.191671,0.265048,0.15536,0.0958355
000031,2019,0.174427,0.325301,0.036694,0.0872135
000031,2020,-0.020488,0.324243,-0.66747,-0.010244
000031,2021,0.005782,0.240972,-0.31645,0.002891
000031,2022,-0.168383,0.352544,-3.896242,-0.0841915
000031,2023,-0.100215,0.314086,1.054598,-0.0501075
000032,2015,0.048071,1.372816,-0.484077,0.0240355
000032,2016,0.043126,1.568866,-0.074895,0.021563
000032,2017,0.018135,2.282935,-0.714428,0.0090675
000032,2018,0.075403,1.520668,1.022923,0.0377015
000032,2019,0.094477,1.409275,0.411655,0.0472385
000032,2020,0.097686,1.145324,0.197702,0.048843
000032,2021,0.095133,0.269115,0.217257,0.0475665
000032,2022,-0.027575,0.273674,-0.377174,-0.0137875
000032,2023,0.054658,0.276899,0.218421,0.027329
000034,2015,0.121163,0.438339,-0.652467,0.0605815
000034,2016,0.284848,0.089585,17.854053,0.142424
000034,2017,0.241046,0.085402,0.795476,0.120523
000034,2018,0.142504,0.079632,-0.286457,0.071252
000034,2019,0.170793,0.177693,0.359731,0.0853965
000034,2020,0.137583,0.175268,-0.110534,0.0687915
000034,2021,0.044169,0.151309,-0.599789,0.0220845
000034,2022,0.146812,0.156934,2.971856,0.073406
000034,2023,0.145031,0.190285,0.16443,0.0725155
000035,2015,0.131428,0.28936,0.303854,0.065714
000035,2016,0.10822,0.120401,-0.072178,0.05411
000035,2017,0.087462,0.438518,0.062203,0.043731
000035,2018,0.069173,0.127559,-0.011547,0.0345865
000035,2019,0.101552,0.286479,2.461814,0.050776
000035,2020,0.058105,0.224371,0.076602,0.0290525
000035,2021,0.064431,0.686045,0.04773,0.0322155
000035,2022,0.011635,0.232216,-0.8599,0.0058175
000035,2023,0.032212,0.171953,2.160373,0.016106
000036,2015,0.035377,0.720657,2.142356,0.0176885
000036,2016,0.49756,0.549092,13.288796,0.24878
000036,2017,0.344967,0.46598,0.014263,0.1724835
000036,2018,0.21005,1.089095,-0.248651,0.105025
000036,2019,0.167486,1.196981,-0.135873,0.083743
000036,2020,0.111878,1.360428,-0.132549,0.055939
000036,2021,0.082285,1.657795,-0.317495,0.0411425
000036,2022,0.084812,2.044942,0.135943,0.042406
000036,2023,0.015341,2.043856,-0.833707,0.0076705
000037,2015,-0.66573,0.314973,-0.966937,-0.332865
000037,2016,1.013444,0.772295,2.525047,0.506722
000037,2017,0.008153,0.573126,-0.999702,0.0040765
000037,2018,0.009782,0.810659,32.024641,0.004891
000037,2019,0.012511,0.75685,1.063222,0.0062555
000037,2020,0.031558,0.93315,1.643714,0.015779
000037,2021,-0.239479,1.193002,-8.49948,-0.1197395
000037,2022,-0.104327,1.027246,0.635802,-0.0521635
000037,2023,0.002854,1.313416,0.989189,0.001427
000038,2015,0.052606,0.178921,1.146696,0.026303
000038,2016,0.090009,1.903399,28.827057,0.0450045
000038,2017,0.068444,5.422172,0.490283,0.034222
000038,2018,-0.571356,3.46619,-7.564991,-0.285678
000038,2019,0.045422,7.323868,1.048541,0.022711
000038,2020,0.028282,2.881641,-0.358865,0.014141
000038,2021,-0.246699,2.060163,-9.657114,-0.1233495
000039,2015,0.077668,0.097714,-0.251149,0.038834
000039,2016,0.018665,0.136781,-0.687327,0.0093325
000039,2017,0.081275,0.108832,3.297263,0.0406375
000039,2018,0.09688,0.134938,0.288132,0.04844
000039,2019,0.040278,0.137698,-0.38303,0.020139
000039,2020,0.128486,0.20004,1.395008,0.064243
000039,2021,0.149554,0.243266,0.39074,0.074777
000039,2022,0.06869,0.288461,-0.449675,0.034345
000039,2023,0.008733,0.274257,-0.595019,0.0043665
000042,2015,0.090002,0.271618,0.299292,0.045001
000042,2016,0.045309,0.254574,-0.445944,0.0226545
000042,2017,0.100085,0.236025,1.74847,0.0500425
000042,2018,0.065279,0.207767,-0.318523,0.0326395
000042,2019,0.106159,0.162244,0.623233,0.0530795
000042,2020,0.036468,0.235883,-0.762509,0.018234
000042,2021,0.02587,0.193871,-0.591581,0.012935
000042,2022,0.009865,0.053445,-0.862154,0.0049325
000042,2023,-0.26658,0.057483,-233.240556,-0.13329
000045,2015,0.003888,1.332829,1.074805,0.001944
000045,2016,-0.038666,1.908083,-11.27048,-0.019333
000045,2017,0.022282,2.33964,1.844061,0.011141
000045,2018,-0.009634,1.117475,-1.845795,-0.004817
000045,2019,0.007716,0.843463,0.702634,0.003858
000045,2020,0.013567,0.500829,3.347838,0.0067835
000045,2021,0.02191,1.383221,0.726867,0.010955
000045,2022,0.025877,1.63057,0.692113,0.0129385
000045,2023,0.027661,1.46409,0.13726,0.0138305
000049,2015,0.27528,0.240839,-0.015298,0.13764
000049,2016,0.244718,0.132924,0.134998,0.122359
000049,2017,0.234739,0.046198,0.040273,0.1173695
000049,2018,0.254401,0.050161,0.444912,0.1272005
000049,2019,0.254357,0.133327,0.274387,0.1271785
000049,2020,0.266397,0.091528,0.105159,0.1331985
000049,2021,0.253642,0.041708,0.072497,0.126821
000049,2022,0.230449,0.114962,0.073561,0.1152245
000049,2023,0.108255,0.541171,-0.400436,0.0541275
000050,2015,0.051849,1.198602,-0.191224,0.0259245
000050,2016,0.04215,0.825953,0.024487,0.021075
000050,2017,0.05718,0.420655,0.418195,0.02859
000050,2018,0.045729,0.194313,-0.358832,0.0228645
000050,2019,0.031468,0.157739,-0.157046,0.015734
000050,2020,0.048926,0.262692,0.777892,0.024463
000050,2021,0.045074,0.192092,0.046073,0.022537
000050,2022,0.003466,0.425223,4.134523,0.001733
000050,2023,-0.072301,0.401897,-20.725523,-0.0361505
000055,2015,0.083989,0.146199,-0.264043,0.0419945
000055,2016,0.378937,0.327165,8.616463,0.1894685
000055,2017,0.408482,0.373387,0.754671,0.204241
000055,2018,0.532637,0.43268,0.95141,0.2663185
000055,2019,0.067021,0.268262,-0.845621,0.0335105
000055,2020,0.072333,0.344353,0.100979,0.0361665
000055,2021,0.040746,0.32402,-0.417693,0.020373
000055,2022,0.050192,0.282872,0.261712,0.025096
000055,2023,0.046585,0.254468,-0.032135,0.0232925
000056,2015,0.011112,0.255482,1.070627,0.005556
000056,2016,0.022415,1.425516,2.035766,0.0112075
000056,2017,0.034112,0.358421,0.837143,0.017056
000056,2018,0.017006,0.106112,-0.221296,0.008503
000056,2019,0.009362,0.080898,-0.357214,0.004681
000056,2020,-0.057272,0.024533,-5.226979,-0.028636
000056,2021,-0.282359,0.01982,-2.935289,-0.1411795
000056,2022,-0.444204,0.025538,0.045676,-0.222102
000056,2023,-0.728321,0.033098,0.041025,-0.3641605
000058,2015,0.053525,0.307061,0.372352,0.0267625
000058,2016,0.071154,0.239752,0.317329,0.035577
000058,2017,0.126711,0.267858,-0.004056,0.0633555
000058,2018,0.014717,0.592687,-0.923559,0.0073585
000058,2019,0.041647,0.509087,3.381599,0.0208235
000058,2020,0.013626,0.326039,-0.707434,0.006813
000058,2021,0.023844,0.646391,2.274223,0.011922
000058,2022,0.008064,0.561141,-0.594723,0.004032
000058,2023,0.045984,0.568412,1.842474,0.022992
000059,2015,0.037733,0.189745,1.243948,0.0188665
000059,2016,0.184822,0.216296,4.0979,0.092411
000059,2017,0.161678,0.356246,0.050326,0.080839
000059,2018,0.083314,0.898398,-0.4211,0.041657
000059,2019,0.074147,0.786641,-0.135062,0.0370735
000059,2020,0.023908,1.038207,-0.671125,0.011954
000059,2021,0.064271,1.404338,1.716629,0.0321355
000059,2022,0.036839,0.890665,-0.390527,0.0184195
000059,2023,0.004897,1.384113,-0.861799,0.0024485
000060,2015,0.030047,0.209274,-0.526591,0.0150235
000060,2016,0.04302,0.281768,0.311406,0.02151
000060,2017,0.120662,0.405602,2.198359,0.060331
000060,2018,0.090512,0.51572,-0.168236,0.045256
000060,2019,0.080164,0.438208,-0.041987,0.040082
000060,2020,0.086017,0.370472,0.262174,0.0430085
000060,2021,0.09207,0.426694,0.110261,0.046035
000060,2022,0.086573,0.412954,0.011663,0.0432865
000060,2023,0.049,0.39133,-0.158181,0.0245
000062,2015,0.126922,0.728689,-0.207323,0.063461
000062,2016,0.11226,0.428997,0.176857,0.05613
000062,2017,0.100807,0.342893,0.038449,0.0504035
000062,2018,0.154378,0.330578,0.657883,0.077189
